,Year,Round,Region Number,Region Name,Seed,Score,Team,Team.1,Score.1,Seed.1,Pointdiff,Winner,Champs,MM19,,Seed,Matchup,Champs
165,1987,2,2,Midwest,13,60,Xavier,Duke,65,5,5,2,0,Yes (2),,13,5,0
166,1987,2,3,Southeast,1,82,Georgetown,Ohio St,79,9,3,1,0,Yes (2),,1,9,0
167,1987,2,3,Southeast,2,101,Alabama,New Orleans,76,7,25,1,0,No,,2,7,0
168,1987,2,3,Southeast,14,87,Austin Peay,Providence,90,6,3,2,0,No,,14,6,0
169,1987,2,3,Southeast,13,63,Southwest Missouri St,Kansas,67,5,4,2,0,Yes (2),,13,5,0
170,1987,2,4,East,1,109,North Carolina,Michigan,97,9,12,1,0,Yes (1),,1,9,0
171,1987,2,4,East,2,104,Syracuse,Western Kentucky,86,10,18,1,0,Yes (1),,2,10,0
172,1987,2,4,East,3,66,Purdue,Florida,85,6,19,2,0,Yes (1),,3,6,0
173,1987,2,4,East,4,57,TCU,Notre Dame,58,5,1,2,0,No,,4,5,0
174,1987,3,1,West,1,92,UNLV,Wyoming,78,12,14,1,0,No,,1,12,0
175,1987,3,1,West,2,93,Iowa,Oklahoma,91,6,2,1,0,Yes (1),,2,6,0
176,1987,3,2,Midwest,1,88,Indiana,Duke,82,5,6,1,0,Yes (2),,1,5,0
177,1987,3,2,Midwest,10,63,LSU,DePaul,58,3,5,1,0,Yes (1),,10,3,0
178,1987,3,3,Southeast,1,70,Georgetown,Kansas,57,5,13,1,0,Yes (2),,1,5,0
179,1987,3,3,Southeast,2,82,Alabama,Providence,103,6,21,2,0,No,,2,6,0
180,1987,3,4,East,1,74,North Carolina,Notre Dame,68,5,6,1,0,Yes (1),,1,5,0
181,1987,3,4,East,2,87,Syracuse,Florida,81,6,6,1,0,Yes (1),,2,6,0
182,1987,4,1,West,1,84,UNLV,Iowa,81,2,3,1,0,Yes (2),,1,2,0
183,1987,4,2,Midwest,1,77,Indiana,LSU,76,10,1,1,0,Yes (2),,1,10,0
184,1987,4,3,Southeast,1,73,Georgetown,Providence,88,6,15,2,0,No,,1,6,0
185,1987,4,4,East,1,75,North Carolina,Syracuse,79,2,4,2,0,Yes (1),,1,2,0
186,1987,5,1,Final Four,1,93,UNLV,Indiana,97,1,4,2,0,No,,1,1,0
187,1987,5,2,Final Four,6,63,Providence,Syracuse,67,2,4,2,0,Yes (2),,6,2,0
188,1987,6,1,Championship,1,74,Indiana,Syracuse,73,2,1,4,1,Yes (2),,1,2,1
189,1988,1,1,Midwest,1,94,Purdue,Fairleigh Dickinson,79,16,15,1,0,Yes (1),,1,16,0
190,1988,1,1,Midwest,2,108,Pittsburgh,Eastern Michigan,90,15,18,1,0,No,,2,15,0
191,1988,1,1,Midwest,3,75,NC State,Murray St,78,14,3,2,0,No,,3,14,0
192,1988,1,1,Midwest,4,66,Kansas St,La Salle,53,13,13,1,0,Yes (1),,4,13,0
193,1988,1,1,Midwest,5,83,DePaul,Wichita St,62,12,21,1,0,No,,5,12,0
194,1988,1,1,Midwest,6,85,Kansas,Xavier,72,11,13,1,0,Yes (1),,6,11,0
195,1988,1,1,Midwest,7,80,Vanderbilt,Utah St,77,10,3,1,0,Yes (2),,7,10,0
196,1988,1,1,Midwest,8,60,Baylor,Memphis,75,9,15,2,0,Yes (1),,8,9,0
197,1988,1,2,East,1,87,Temple,Lehigh,73,16,14,1,0,No,,1,16,0
198,1988,1,2,East,2,85,Duke,Boston University,69,15,16,1,0,Yes (1),,2,15,0
199,1988,1,2,East,3,69,Syracuse,North Carolina A&T,55,14,14,1,0,Yes (1),,3,14,0
200,1988,1,2,East,4,69,Indiana,Richmond,72,13,3,2,0,No,,4,13,0
201,1988,1,2,East,5,90,Georgia Tech,Iowa St,78,12,12,1,0,Yes (2),,5,12,0
202,1988,1,2,East,6,80,Missouri,Rhode Island,87,11,7,2,0,No,,6,11,0
203,1988,1,2,East,7,83,SMU,Notre Dame,75,10,8,1,0,No,,7,10,0
204,1988,1,2,East,8,66,Georgetown,LSU,63,9,3,1,0,Yes (2),,8,9,0
205,1988,1,3,West,1,90,Arizona,Cornell,50,16,40,1,0,Yes (1),,1,16,0
206,1988,1,3,West,2,83,North Carolina,North Texas St,65,15,18,1,0,Yes (1),,2,15,0
207,1988,1,3,West,3,63,Michigan,Boise St,58,14,5,1,0,Yes (1),,3,14,0
208,1988,1,3,West,4,54,UNLV,Southwest Missouri St,50,13,4,1,0,No,,4,13,0
209,1988,1,3,West,5,102,Iowa,Florida St,98,12,4,1,0,Yes (1),,5,12,0
210,1988,1,3,West,6,62,Florida,St Johns,59,11,3,1,0,Yes (1),,6,11,0
211,1988,1,3,West,7,115,Wyoming,Loyola Marymount,119,10,4,2,0,No,,7,10,0
212,1988,1,3,West,8,80,Seton Hall,UTEP,64,9,16,1,0,Yes (1),,8,9,0
213,1988,1,4,Southeast,1,94,Oklahoma,Chattanooga,66,16,28,1,0,Yes (1),,1,16,0
214,1988,1,4,Southeast,2,99,Kentucky,Southern,84,15,15,1,0,Yes (1),,2,15,0
